# FROZEN weights — exam v2 STEP 1A. The exam uses these tables VERBATIM; no re-tuning.
# raw_strength = Sum_bins (n_bin/n_total)*|TP%_bin - baseline|; bins n<100 -> 0; sz on sz-present rows; duplicate-value columns deduped (11 aliases folded). Discovery slice; HOLDOUT SEALED.
variant,direction,rank,feature_code,plain_name,flag,weight,cumulative_weight,effect_pp,n,deduped_aliases
W-STAT,short,173,E13.01,Sell share: sell_vol / curr_vol,,0.0022,0.9312,-0.9,6869,
W-STAT,short,174,E13.08,Log sell volume,,0.0022,0.9334,-0.9,6869,
W-STAT,short,175,E36.03,Percentile / z vs window,,0.0022,0.9356,1.5,6855,
W-STAT,short,176,E38.07,Acceleration,,0.0022,0.9378,0.5,6869,
W-STAT,short,177,B-P1.07,Sum: absorbed share of selection volume,,0.0022,0.9400,0.8,6869,
W-STAT,short,178,E19.04,clS streak,,0.0021,0.9421,2.0,6855,
W-STAT,short,179,E10.04,Percentile vs trailing window,,0.0021,0.9443,2.5,6610,
W-STAT,short,180,E28.07,Speed acceleration vs prior,,0.0021,0.9464,-0.3,6869,
W-STAT,short,181,B-P3.10,Entry-bucket raw value,,0.0021,0.9485,-2.7,6869,
W-STAT,short,182,B-P3.03,Spread: buyer% - seller%,,0.0021,0.9505,0.6,6869,
W-STAT,short,183,E12.10,Buy-share slope over trailing 5 buckets,,0.0020,0.9525,-2.2,6869,
W-STAT,short,184,B-P1.09,Peak-absorption bucket position (0..15),,0.0020,0.9545,2.0,6869,
W-STAT,short,185,E15.01,Raw fraction,,0.0020,0.9565,-1.6,6869,
W-STAT,short,186,E33.05,Percentile of each vs day,,0.0019,0.9584,2.1,6645,
W-STAT,short,187,E14.01,Sign and magnitude,,0.0019,0.9603,1.4,6869,
W-STAT,short,188,K.06,Zone tag: above / upper-half / lower-half / below,,0.0018,0.9622,2.1,6865,
W-STAT,short,189,E28.05,Percentile / z vs window,,0.0018,0.9640,-1.2,6855,
W-STAT,short,190,E14.06,Delta acceleration (this vs prior magnitude),,0.0018,0.9658,0.1,6869,
W-STAT,short,191,E23.08,Effort acceleration vs prior,,0.0018,0.9676,0.6,6869,
W-STAT,short,192,E21.04,BUILD streak / DRAIN streak lengths,,0.0017,0.9693,-2.2,6855,
W-STAT,short,193,B-P3.08,Both-hot bucket count,,0.0017,0.9710,31.7,6869,
W-STAT,short,194,B-P3.09,Peak-E/R bucket position,,0.0017,0.9726,2.0,6869,
W-STAT,short,195,E07.04,Percentile / z vs trailing window,,0.0016,0.9743,1.8,6104,
W-STAT,short,196,E23.06,Hot streak length,,0.0016,0.9759,1.6,6855,
W-STAT,short,197,E37.01,Absolute absorbed volume + side,,0.0016,0.9775,-0.4,6869,
W-STAT,short,198,E07.01,Raw fraction 0..1,,0.0015,0.9790,1.6,6834,G02.1
W-STAT,short,199,B-P2.03,Spread: bull% - bear%,,0.0015,0.9805,0.2,6869,
W-STAT,short,200,E20.08,Churn acceleration,,0.0015,0.9821,0.5,6869,
W-STAT,short,201,E43.02,Percentile / z of the share,,0.0014,0.9835,1.1,6855,
W-STAT,short,202,E36.05,s slope over last 5 buckets,,0.0014,0.9850,0.8,6869,
W-STAT,short,203,K.12,POC-baseline slope + consecutive-side streak,,0.0014,0.9864,4.7,6645,
W-STAT,short,204,E15.04,Percentile / z vs window,,0.0013,0.9877,1.6,6855,
W-STAT,short,205,E17.06,Day-rank of opS,,0.0012,0.9890,0.2,6866,
W-STAT,short,206,E18.07,clL acceleration,,0.0012,0.9902,1.4,6869,
W-STAT,short,207,E10.01,Raw 0..1 position,,0.0012,0.9913,1.5,6834,G10.1
W-STAT,short,208,E36.01,Raw s,,0.0011,0.9924,0.2,6869,
W-STAT,short,209,E24.08,Effort acceleration,,0.0011,0.9935,0.4,6869,
W-STAT,short,210,E23.01,Raw value / log value,,0.0009,0.9944,-0.4,6869,
W-STAT,short,211,E15.05,One-sidedness streak,,0.0009,0.9953,0.4,6855,
W-STAT,short,212,B-P2.09,Peak eff-agg bucket position,,0.0009,0.9961,0.6,6869,
W-STAT,short,213,G04.1,Price moved per net contract (efficiency of aggression),,0.0008,0.9970,0.4,6869,
W-STAT,short,214,E38.06,Eff-agg streak per side,,0.0007,0.9977,-0.1,6855,
W-STAT,short,215,B-P1.08,Trajectory slope across the selection,,0.0007,0.9983,0.5,6869,
W-STAT,short,216,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,0.0005,0.9988,-0.6,6834,
W-STAT,short,217,E47.10,Acceleration vs prior bucket,,0.0004,0.9992,-0.7,6869,
W-STAT,short,218,E48.10,Acceleration,,0.0003,0.9996,0.5,6869,
W-STAT,short,219,C.04,Path class: trend / range / V-shape,,0.0002,0.9998,0.2,6869,
W-STAT,short,220,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,0.0002,1.0000,0.2,6869,
W-STAT,short,221,B-P1.04,Dominant side label,,0.0000,1.0000,0.0,6869,
